pwm,m1,m2,m3,m4,mean
46,75.103636,74.367326,76.208101,73.815093,74.873539
47,77.312566,76.944411,77.680721,75.839946,76.944411
48,79.521497,78.417032,79.705574,78.232954,78.969264
49,80.994117,80.994117,82.28266,79.889652,81.040137
50,83.203048,82.098582,83.387125,81.362272,82.512757
51,85.227901,84.307513,86.148288,83.387125,84.767707
52,87.436831,86.332366,87.989064,85.964211,86.930618
53,88.541296,88.909451,89.645762,87.252754,88.587316
54,90.750227,89.829839,91.118382,89.093529,90.197994
55,92.591002,92.406925,93.51139,91.118382,92.406925
56,94.799933,94.431778,94.799933,93.51139,94.385758
57,96.088475,95.72032,97.377018,95.168088,96.088475
58,97.929251,97.377018,98.481483,96.824786,97.653134
59,99.770026,99.217794,100.506336,97.929251,99.355852
60,101.610802,101.610802,102.715267,100.138181,101.518763
61,103.267499,103.451577,104.371965,102.715267,103.451577
62,105.292352,104.371965,105.844585,103.635654,104.786139
63,106.764973,106.94905,107.501283,104.924197,106.534876
64,108.237593,107.501283,109.710213,106.764973,108.053515
65,110.262446,109.342058,110.814679,109.342058,109.94031
66,112.655454,111.735066,113.391764,111.182834,112.241279
67,113.759919,113.023609,114.864384,112.839531,113.621861
68,116.152927,115.416617,115.96885,113.391764,115.232539
69,117.257392,117.257392,118.545935,115.96885,117.257392
70,119.282245,118.361858,119.466323,117.257392,118.591955
-1,0.0,0.0,0.0,0.0,0.0
-2,0.0,0.0,0.0,0.0,0.0
-3,0.0,0.0,0.0,0.0,0.0
-4,0.0,0.0,0.0,0.0,0.0
-5,0.0,0.0,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.0,0.0
-7,0.0,0.0,0.0,0.0,0.0
-8,0.0,0.0,0.0,0.0,0.0
-9,-0.73631,-1.104465,-1.288543,-0.73631,-0.966407
-10,-3.129318,-3.129318,-3.497473,-2.761163,-3.129318
-11,-4.786016,-4.786016,-5.154171,-4.417861,-4.786016
-12,-6.626791,-6.626791,-6.994946,-5.706404,-6.488733
-13,-8.651644,-8.651644,-8.835722,-8.099412,-8.559606
-14,-10.49242,-10.308342,-10.860575,-10.124265,-10.4464
-15,-12.517273,-12.333195,-12.70135,-11.96504,-12.379215
-16,-13.989893,-13.805815,-14.173971,-13.805815,-13.943874
-17,-16.014746,-16.014746,-16.198823,-15.462513,-15.922707
-18,-17.671444,-17.671444,-18.039599,-17.119211,-17.625424
-19,-19.696297,-19.880374,-20.064452,-19.328142,-19.742316
-20,-21.537072,-21.72115,-22.273382,-21.537072,-21.767169
-21,-23.561925,-23.377847,-24.114158,-22.825615,-23.469886
-22,-25.586778,-25.586778,-26.139011,-25.4027,-25.678817
-23,-27.611631,-27.427553,-27.979786,-27.243476,-27.565611
-24,-29.452406,-29.820561,-30.188716,-29.268329,-29.682503
-25,-31.845414,-31.477259,-32.397647,-31.109104,-31.707356
-26,-33.870267,-33.68619,-34.4225,-32.765802,-33.68619
-27,-35.711043,-35.15881,-36.63143,-35.15881,-35.665023
-28,-37.551818,-37.36774,-38.656283,-37.183663,-37.689876
-29,-39.944826,-39.944826,-40.497059,-38.840361,-39.806768
-30,-41.969679,-41.969679,-42.705989,-41.049291,-41.92366
-31,-43.810454,-43.994532,-44.91492,-43.258222,-43.994532
